id,env,sim_ht,bias,mae
63,balanced,0.49297791552664816,0.7,0.007855417806685194
64,balanced,0.5460452706336648,0.3,0.024892976585800808
65,healthy,0.6359699630554515,0.7,0.054227184855801025
66,unhealthy,0.38798127652984377,1.0,0.0022749674579269907
67,healthy,0.3857677338560398,0.0,0.03761281178651438
68,unhealthy,0.3891106934145463,0.9,0.2292032860071389
69,healthy,0.3768102144247063,0.4,0.015148403831316493
70,balanced,0.5563622402344727,0.5,0.17815410271643084
71,unhealthy,0.34241051777401804,1.0,0.15774734876249405
72,balanced,0.2683105277798611,0.0,0.0662849956451643
73,unhealthy,0.5580697760513776,0.1,0.16554764567919555
74,balanced,0.603867543022308,0.2,0.043750556006369457
75,healthy,0.5777149529966252,0.8,0.11688632900984763
76,unhealthy,0.4941999208200869,0.5,0.0064385834399968145
77,balanced,0.4286334828281037,0.3,0.1972406217637242
78,healthy,0.6352687280597056,0.7,0.0927642359611327
79,healthy,0.5072884250588617,0.4,0.01958232880994465
80,balanced,0.46782123061446534,0.7,0.022377702713820335
81,healthy,0.5654066152693038,0.9,0.13230705834933731
82,unhealthy,0.5270457741553397,0.8,0.010241985685187971
83,unhealthy,0.6753172603265056,0.0,0.0870002119177189
84,healthy,0.6691402230818563,0.9,0.01238880907815465
85,unhealthy,0.47739350492015437,0.9,0.028765372922917587
86,unhealthy,0.6376674607071392,0.2,0.12082539353590416
87,healthy,0.6325920079738243,0.7,0.1981795326398137
88,balanced,0.32268299119123256,0.3,0.03110404502892916
89,balanced,0.4055524247346656,0.3,0.0226297509945243
90,balanced,0.5708078907465827,0.0,0.017109505706188965
91,unhealthy,0.4245853013260106,1.0,0.036109955060172005
92,unhealthy,0.3845063731534466,0.4,0.08555556775017958
93,healthy,0.6311316872838146,0.9,0.1821078520350753
94,balanced,0.4761158471722217,1.0,0.004194250520462739
95,unhealthy,0.6212081718798653,0.4,0.022592305690541603
96,healthy,0.44831381599637216,0.1,0.0008538460213940446
97,balanced,0.4429150144952056,0.7,0.006136232529941332
98,healthy,0.3618781426391593,0.2,0.07086709520800949
99,healthy,0.666572923131317,0.1,0.16048660656887348
100,balanced,0.5309968280067323,0.7,0.040433267557016594
101,unhealthy,0.7918661836175929,0.0,0.02280784764526289
102,unhealthy,0.41528325040550335,1.0,0.29271602861241725
103,healthy,0.5653851195448905,0.6,0.004120118329081546
104,balanced,0.5708411873052911,0.2,0.33152154171039305
105,balanced,0.6284825919072705,0.3,0.051483390944941365
106,balanced,0.34816467174853044,0.2,0.015961703652417447
107,unhealthy,0.35106259807065876,0.8,0.08222293236994366
108,healthy,0.6483743442998274,0.8,0.040393604373312075
109,balanced,0.546567464861974,0.8,0.12561905599519518
110,unhealthy,0.4406436169687428,0.0,0.004228122174423643
111,unhealthy,0.3353365302637432,0.3,0.0369139458906772
112,healthy,0.5482565757870828,0.5,0.015541539733282761
113,healthy,0.40923743762356196,0.3,0.021688017283649275
114,healthy,0.6167814686778009,0.9,0.0048920261325459125
115,balanced,0.39797331780806067,0.1,0.05931340136946017
116,unhealthy,0.6602747208532395,0.2,0.01236303264776406
117,healthy,0.38057244676933116,0.1,0.0020883104248722306
118,balanced,0.5550734785412987,0.7,0.17407871373826844
119,unhealthy,0.6010707654219395,0.1,0.03528195629823272
120,healthy,0.3276605400143605,0.0,0.006524654429458432
121,balanced,0.5320807385977662,0.5,0.08317829491831352
122,balanced,0.44138392548579625,0.5,0.0012775993565865562
123,balanced,0.4864657919479744,1.0,0.0019252512061188054
124,unhealthy,0.3720389896321169,0.5,0.11472289042041811
125,healthy,0.5998811108706791,0.8,0.010484658365074728
126,unhealthy,0.4558478661765825,0.7,0.011423853233111958
127,healthy,0.6610621867015473,0.9,0.11584871836100274
128,healthy,0.28940301069387503,0.0,0.07231764316325773
129,unhealthy,0.35588844679562137,0.9,0.14521275484554128
130,balanced,0.4397317295225435,1.0,0.03395051470943422
131,healthy,0.6203821325947129,0.7,0.0010402074935987882
132,balanced,0.5125483767252513,0.5,0.0022950554060909845
133,healthy,0.5143705665739526,0.3,0.000755474288211988
134,balanced,0.5579747387297678,0.1,0.03192017250317414
135,unhealthy,0.4480461512921829,0.5,0.0010158013682384226
136,unhealthy,0.42470426364182995,0.8,0.0057227821603484386
137,healthy,0.36830404614591344,0.2,0.06477115170690922
138,healthy,0.6154703691475621,1.0,0.2108441876602759
139,unhealthy,0.666716057701085,0.0,0.18738338717249559
140,balanced,0.6106784099294966,0.0,0.1623183536693683
141,balanced,0.5236528240805979,0.9,0.008951687557034571
142,unhealthy,0.4413867498630133,1.0,0.003093092804322517
143,healthy,0.5917292138406178,0.8,0.0010945780544816541
144,unhealthy,0.2855370711280021,1.0,0.09241419009768129
145,balanced,0.45556474979831796,0.0,0.018909687751548165
146,healthy,0.6769885124926361,0.8,0.0031801744210749883
147,unhealthy,0.2855461789588447,1.0,0.08692089403615522
148,balanced,0.3889487915284702,0.3,0.061178313625255
149,balanced,0.4557765796451771,0.8,0.06578224916980852
150,balanced,0.5586568078752194,0.1,0.005595090621875798
151,unhealthy,0.42737312227895635,1.0,0.17326490381118076
152,healthy,0.7448315505318476,0.1,0.028011205423837615
153,healthy,0.5514296941900401,0.8,0.0065892863113631295
154,unhealthy,0.42831087716955557,0.9,0.0014031089351012604
155,unhealthy,0.2995542229794029,0.8,0.061138366069204086
156,healthy,0.6282749138602672,0.9,0.0012479470731721065
