env,bias,mae,ks,sim_ht,n_agents
balanced,1.0,0.1300345779540089,0.6538461538461539,"[[0.49286453]
 [0.50843055]
 [0.51353447]
 [0.49286428]
 [0.49395489]
 [0.49581886]
 [0.49411276]
 [0.49745802]
 [0.47529849]
 [0.50256231]
 [0.49458083]
 [0.50421695]
 [0.49915967]
 [0.50254221]
 [0.50562227]
 [0.49225356]
 [0.49915973]
 [0.48565089]
 [0.49913339]
 [0.51367133]
 [0.48639345]
 [0.5042029 ]
 [0.49741247]
 [0.521255  ]
 [0.5042018 ]
 [0.50926438]
 [0.51435947]
 [0.48057843]
 [0.52366037]
 [0.49187568]
 [0.48473433]
 [0.44691616]
 [0.46657941]
 [0.49056205]
 [0.49497309]
 [0.52037965]
 [0.50131928]
 [0.49913958]
 [0.51360493]
 [0.50812931]
 [0.4949724 ]
 [0.49226337]
 [0.50302146]
 [0.51259587]
 [0.52366125]
 [0.5322397 ]
 [0.5042833 ]
 [0.49665357]
 [0.5072435 ]
 [0.50561312]
 [0.48646604]
 [0.50251176]]",52
healthy,0.0,0.2601080089428977,0.8461538461538461,"[[0.41705696]
 [0.37539896]
 [0.30472101]
 [0.34480871]
 [0.37661445]
 [0.315064  ]
 [0.36464707]
 [0.23121764]
 [0.39729754]
 [0.3426031 ]
 [0.36298002]
 [0.4182994 ]
 [0.34261234]
 [0.34891403]
 [0.34429025]
 [0.32472963]
 [0.30453624]
 [0.36425439]
 [0.34239823]
 [0.39747328]
 [0.37120794]
 [0.3310831 ]
 [0.30617121]
 [0.23426312]
 [0.33127981]
 [0.33075822]
 [0.28207432]
 [0.30842447]
 [0.37999617]
 [0.34456363]
 [0.34892247]
 [0.34516798]
 [0.28435088]
 [0.23535104]
 [0.39911439]
 [0.26232131]
 [0.39792799]
 [0.47437456]
 [0.34084027]
 [0.3423988 ]
 [0.42073445]
 [0.36300327]
 [0.36810707]
 [0.41023836]
 [0.28441924]
 [0.32472656]
 [0.30235624]
 [0.39887601]
 [0.41060905]
 [0.36282965]
 [0.3628002 ]
 [0.30472066]]",52
healthy,0.1,0.23319717540923554,0.8076923076923077,"[[0.43420736]
 [0.31047385]
 [0.31074439]
 [0.52518782]
 [0.33138088]
 [0.41493199]
 [0.45623187]
 [0.41516745]
 [0.28960369]
 [0.41359593]
 [0.36765268]
 [0.5089401 ]
 [0.26056434]
 [0.36900424]
 [0.35373651]
 [0.40094949]
 [0.33369443]
 [0.36762898]
 [0.50925343]
 [0.4332622 ]
 [0.35162681]
 [0.36713654]
 [0.50971414]
 [0.26525246]
 [0.41516915]
 [0.3490886 ]
 [0.31322122]
 [0.5587325 ]
 [0.37774871]
 [0.42509568]
 [0.41493223]
 [0.35979658]
 [0.35160453]
 [0.4235771 ]
 [0.37540928]
 [0.3715522 ]
 [0.39377799]
 [0.377576  ]
 [0.36733678]
 [0.45901762]
 [0.37776892]
 [0.31299762]
 [0.28920884]
 [0.37370738]
 [0.43382798]
 [0.35375977]
 [0.35517605]
 [0.42850961]
 [0.26359738]
 [0.30263249]
 [0.57217892]
 [0.43379264]]",52
healthy,0.2,0.21729958984928788,0.7692307692307693,"[[0.43591282]
 [0.42118034]
 [0.50333594]
 [0.40068341]
 [0.42805048]
 [0.45295273]
 [0.38374332]
 [0.40284854]
 [0.44642961]
 [0.34597234]
 [0.40322764]
 [0.3394592 ]
 [0.36014713]
 [0.36210235]
 [0.43949649]
 [0.34184677]
 [0.36230809]
 [0.44947111]
 [0.38347862]
 [0.40601107]
 [0.52603752]
 [0.48100213]
 [0.45974927]
 [0.40314382]
 [0.48134161]
 [0.4466963 ]
 [0.40867811]
 [0.30614112]
 [0.48126423]
 [0.40848584]
 [0.40307252]
 [0.35542322]
 [0.44928202]
 [0.36593736]
 [0.38169727]
 [0.32069194]
 [0.4516765 ]
 [0.4495038 ]
 [0.4104061 ]
 [0.46546989]
 [0.36428706]
 [0.45641231]
 [0.42489078]
 [0.40070617]
 [0.44445779]
 [0.50291275]
 [0.42117806]
 [0.42141476]
 [0.4255711 ]
 [0.46209919]
 [0.38048173]
 [0.41772142]]",52
healthy,0.3,0.21114081345171817,0.7692307692307693,"[[0.37074092]
 [0.45338639]
 [0.32181679]
 [0.3934972 ]
 [0.45270779]
 [0.37369011]
 [0.45038948]
 [0.25778512]
 [0.45258765]
 [0.44171814]
 [0.32764961]
 [0.34943312]
 [0.34943556]
 [0.49344015]
 [0.41017453]
 [0.37120861]
 [0.43007762]
 [0.47193403]
 [0.3056767 ]
 [0.39324829]
 [0.45181038]
 [0.56723665]
 [0.38919552]
 [0.45155199]
 [0.51241694]
 [0.40978816]
 [0.39210798]
 [0.51144016]
 [0.43342001]
 [0.45179238]
 [0.49024698]
 [0.47356415]
 [0.46975028]
 [0.47186453]
 [0.45261767]
 [0.49317815]
 [0.51261781]
 [0.37090374]
 [0.4143912 ]
 [0.38996331]
 [0.49834159]
 [0.39222097]
 [0.4676098 ]
 [0.3894289 ]
 [0.40956347]
 [0.40978842]
 [0.45202633]
 [0.4332292 ]
 [0.49449828]
 [0.41167417]
 [0.45270744]
 [0.44970915]]",52
healthy,0.4,0.196783156170815,0.7115384615384616,"[[0.41905879]
 [0.50045717]
 [0.47994872]
 [0.41711154]
 [0.41901833]
 [0.57447451]
 [0.5404383 ]
 [0.4831683 ]
 [0.46115506]
 [0.43766014]
 [0.41844502]
 [0.41660978]
 [0.44055345]
 [0.4613557 ]
 [0.50246059]
 [0.4795818 ]
 [0.46115655]
 [0.44074845]
 [0.41781491]
 [0.44125786]
 [0.52366345]
 [0.41903698]
 [0.39773501]
 [0.43840482]
 [0.46113054]
 [0.48438215]
 [0.4819217 ]
 [0.45921999]
 [0.44078418]
 [0.46392272]
 [0.43734922]
 [0.52170016]
 [0.39728809]
 [0.41883184]
 [0.41991358]
 [0.54288712]
 [0.42055467]
 [0.48228352]
 [0.41908592]
 [0.41524212]
 [0.48190036]
 [0.3974914 ]
 [0.48015117]
 [0.50025144]
 [0.55629164]
 [0.4384257 ]
 [0.39374336]
 [0.39865171]
 [0.45901439]
 [0.47954119]
 [0.54899808]
 [0.41846024]]",52
healthy,0.5,0.18666414063740577,0.7115384615384616,"[[0.48461245]
 [0.5087444 ]
 [0.40335497]
 [0.50739451]
 [0.40772322]
 [0.49974368]
 [0.44927829]
 [0.48454044]
 [0.46479972]
 [0.50958103]
 [0.46691383]
 [0.42889382]
 [0.26354522]
 [0.44565303]
 [0.42177774]
 [0.5111647 ]
 [0.48838896]
 [0.4842101 ]
 [0.42180048]
 [0.37827061]
 [0.60343423]
 [0.43001943]
 [0.40973077]
 [0.55217454]
 [0.4594631 ]
 [0.55481965]
 [0.48093109]
 [0.4773982 ]
 [0.39807617]
 [0.55277328]
 [0.42552727]
 [0.48674257]
 [0.48647851]
 [0.48673997]
 [0.53299953]
 [0.55453912]
 [0.50713953]
 [0.57552524]
 [0.38095601]
 [0.43477394]
 [0.55250139]
 [0.63083498]
 [0.5277153 ]
 [0.45882013]
 [0.44925665]
 [0.48004453]
 [0.55252961]
 [0.5314199 ]
 [0.44043785]
 [0.50112331]
 [0.53219793]
 [0.57693748]]",52
healthy,0.6,0.17690059097444435,0.6923076923076923,"[[0.58699229]
 [0.40140643]
 [0.45730638]
 [0.47860577]
 [0.43991848]
 [0.53438797]
 [0.60792801]
 [0.42065257]
 [0.45767996]
 [0.61978046]
 [0.37843571]
 [0.40749802]
 [0.56118732]
 [0.4976624 ]
 [0.49121622]
 [0.49562883]
 [0.49124074]
 [0.49701005]
 [0.5612142 ]
 [0.58070241]
 [0.53977547]
 [0.58084896]
 [0.45927016]
 [0.47742071]
 [0.45812922]
 [0.49560892]
 [0.49786877]
 [0.51467218]
 [0.53796172]
 [0.40142825]
 [0.4797077 ]
 [0.60696258]
 [0.4798513 ]
 [0.49971013]
 [0.59299188]
 [0.45346777]
 [0.56154272]
 [0.43636908]
 [0.49445839]
 [0.53918157]
 [0.51489895]
 [0.49563313]
 [0.49334841]
 [0.55796027]
 [0.49814635]
 [0.53977181]
 [0.45295036]
 [0.4571009 ]
 [0.49681626]
 [0.63252975]
 [0.59407497]
 [0.53694504]]",52
healthy,0.7,0.16854755372792146,0.6538461538461539,"[[0.48622197]
 [0.56927477]
 [0.53801377]
 [0.56927736]
 [0.56738518]
 [0.55854005]
 [0.50851535]
 [0.51804323]
 [0.51093545]
 [0.48697787]
 [0.54900064]
 [0.52457976]
 [0.52606516]
 [0.56953579]
 [0.61629138]
 [0.46788794]
 [0.63373524]
 [0.48687177]
 [0.56160408]
 [0.54530546]
 [0.54645177]
 [0.5074123 ]
 [0.52457638]
 [0.56432172]
 [0.5053001 ]
 [0.59086097]
 [0.5451157 ]
 [0.50717942]
 [0.38292695]
 [0.56078748]
 [0.50529784]
 [0.50284113]
 [0.48006705]
 [0.51813927]
 [0.57890652]
 [0.48402492]
 [0.51767232]
 [0.56903735]
 [0.54857771]
 [0.51243511]
 [0.47958127]
 [0.56454774]
 [0.50287598]
 [0.58429744]
 [0.50133413]
 [0.50140557]
 [0.56965075]
 [0.49793202]
 [0.54534677]
 [0.5282363 ]
 [0.52590041]
 [0.56953873]]",52
healthy,0.8,0.16157382407122414,0.6346153846153846,"[[0.5004857 ]
 [0.58879517]
 [0.52741203]
 [0.55517307]
 [0.54480702]
 [0.50009023]
 [0.57982811]
 [0.58879189]
 [0.64999517]
 [0.62214982]
 [0.55729055]
 [0.50161051]
 [0.62239238]
 [0.54453569]
 [0.50793096]
 [0.57584131]
 [0.50807959]
 [0.57823732]
 [0.52900122]
 [0.59660743]
 [0.53138506]
 [0.59884741]
 [0.59417296]
 [0.5197873 ]
 [0.52902607]
 [0.519739  ]
 [0.52005902]
 [0.51978436]
 [0.53449899]
 [0.60195119]
 [0.53684252]
 [0.48291174]
 [0.5758154 ]
 [0.57771279]
 [0.55492752]
 [0.62446401]
 [0.50069275]
 [0.51357114]
 [0.52144067]
 [0.55444172]
 [0.64565791]
 [0.5056302 ]
 [0.54641561]
 [0.54453551]
 [0.58901854]
 [0.62271666]
 [0.63887838]
 [0.67410771]
 [0.49412859]
 [0.41495008]
 [0.63891612]
 [0.54480234]]",52
