env,learning_rate,bias,mean_ht,std_ht
unhealthy,0.0,0.6,0.502420739385442,0.14469966099573622
unhealthy,0.0,0.7,0.5000256114750949,0.14758218513952054
unhealthy,0.0,0.8,0.4946339758594482,0.16051743602011984
unhealthy,0.0,0.9,0.4953579771485872,0.15282287891559862
unhealthy,0.0,1.0,0.5017645884824785,0.14811496317418532
unhealthy,0.1,0.0,0.6399188505369936,0.05062907420695517
unhealthy,0.1,0.1,0.6156286299846597,0.051149194760584576
unhealthy,0.1,0.2,0.5920010034363167,0.0504364966655968
unhealthy,0.1,0.3,0.5685765419724318,0.05375636667894196
unhealthy,0.1,0.4,0.5424542675332311,0.054821517094656075
unhealthy,0.1,0.5,0.5180074235322787,0.05775131408978288
unhealthy,0.1,0.6,0.4931169237100215,0.058622108991180415
unhealthy,0.1,0.7,0.47074367592137767,0.059860546546387464
unhealthy,0.1,0.8,0.4451612564465252,0.05826622267387334
unhealthy,0.1,0.9,0.4203720784057037,0.06264741189235445
unhealthy,0.1,1.0,0.3981976323430438,0.06185889302942089
unhealthy,0.2,0.0,0.6586885736997878,0.05162328734050961
unhealthy,0.2,0.1,0.6311976842638504,0.0503212205517265
unhealthy,0.2,0.2,0.6035683250422735,0.04976513828447177
unhealthy,0.2,0.3,0.5766238924113416,0.04972148873913879
unhealthy,0.2,0.4,0.5488533121349487,0.053888625718315104
unhealthy,0.2,0.5,0.5214315969633672,0.052630248391081394
unhealthy,0.2,0.6,0.49390248469302467,0.05380241751175983
unhealthy,0.2,0.7,0.4655581386539883,0.05260913311588616
unhealthy,0.2,0.8,0.4379759791336825,0.059003459454797694
unhealthy,0.2,0.9,0.41122597085391255,0.057332040464990755
unhealthy,0.2,1.0,0.3820648783630291,0.060783124409591285
unhealthy,0.3,0.0,0.6622132064239067,0.05081896149840673
unhealthy,0.3,0.1,0.6333818982491416,0.05146032642514856
unhealthy,0.3,0.2,0.6058718394786125,0.05202832861110057
unhealthy,0.3,0.3,0.5775510937928546,0.05193971774640131
unhealthy,0.3,0.4,0.5497074124502184,0.05286830568331658
unhealthy,0.3,0.5,0.5214328225943656,0.05459433511854698
unhealthy,0.3,0.6,0.4931398042371356,0.05687765960677575
