bootstrap,env,bias,mae_base,w_ht,w_hn,w_ut,w_un,mae_full,delta_mae_full
29,healthy,0.81,0.164471568840999,0.2227116984826236,0.1140479686735193,0.2227116984826236,0.4405286343612334,0.1652860386446887,0.0008144698036897
29,unhealthy,0.76,0.1597257861991041,0.2847309136420525,0.2847309136420525,0.2847309136420525,0.1458072590738423,0.1707520624084333,0.0110262762093291
29,balanced,0.01,0.1414778374185467,0.1457160725453408,0.1457160725453408,0.2845528455284552,0.424015009380863,0.1605976948505806,0.0191198574320339
30,healthy,0.84,0.1656260321130502,0.250092216894135,0.3319808188860199,0.0859461453338251,0.3319808188860199,0.1956420360786455,0.0300160039655953
30,unhealthy,0.89,0.1716967422285633,0.2723985536359984,0.3615910004017678,0.2723985536359984,0.0936118923262354,0.1763164124533504,0.004619670224787
30,balanced,0.13,0.122763110732092,0.250092216894135,0.3319808188860199,0.0859461453338251,0.3319808188860199,0.1303337030399676,0.0075705923078755
31,healthy,0.99,0.1857235669043093,0.3068530514831231,0.3068530514831231,0.0794408455506307,0.3068530514831231,0.1865859739061056,0.0008624070017962
31,unhealthy,0.89,0.1780710799598595,0.2990736656374062,0.2990736656374062,0.2990736656374062,0.1027790030877812,0.1873399091622613,0.0092688292024017
31,balanced,0.18,0.1369021592925448,0.3617363344051446,0.272508038585209,0.1828778135048231,0.1828778135048231,0.1529651945756227,0.0160630352830778
32,healthy,0.99,0.1563358189135772,0.272508038585209,0.1828778135048231,0.1828778135048231,0.3617363344051447,0.1618647998565139,0.0055289809429366
32,unhealthy,0.84,0.1584149592819917,0.0054914881933003,0.3723228995057661,0.2498627127951674,0.3723228995057661,0.1693375168264344,0.0109225575444427
32,balanced,0.04,0.1428230369310341,0.3317025440313111,0.1139921722113502,0.3317025440313111,0.2226027397260273,0.1757266707992373,0.0329036338682031
33,healthy,1.0,0.1813803230641951,0.3319808188860199,0.0859461453338251,0.3319808188860199,0.250092216894135,0.1889555644169157,0.0075752413527206
33,unhealthy,0.94,0.1364995207616844,0.4405286343612334,0.2227116984826235,0.3318649045521292,0.0048947626040137,0.1375960987570635,0.0010965779953791
33,balanced,0.03,0.1131238337069936,0.424015009380863,0.1457160725453408,0.2845528455284553,0.1457160725453408,0.1271794365385128,0.0140556028315191
34,healthy,0.94,0.1484256334421541,0.272508038585209,0.1828778135048231,0.1828778135048231,0.3617363344051447,0.1709848380814805,0.0225592046393263
34,unhealthy,0.9,0.1620293904045401,0.0054914881933003,0.1279516749038989,0.3723228995057661,0.4942339373970346,0.172504661821002,0.0104752714164618
34,balanced,0.11,0.128050898452403,0.2851711026615969,0.214828897338403,0.2851711026615969,0.214828897338403,0.1360235085002773,0.0079726100478742
35,healthy,0.99,0.1656534475866286,0.3615910004017678,0.2723985536359984,0.0936118923262354,0.2723985536359984,0.1903021840351959,0.0246487364485672
35,unhealthy,0.88,0.1437453165117585,0.2500922168941349,0.2500922168941349,0.3319808188860199,0.16783474732571,0.1646532627782766,0.020907946266518
35,balanced,0.12,0.1166994300013002,0.250092216894135,0.16783474732571,0.250092216894135,0.3319808188860199,0.1431373689007893,0.0264379388994891
36,healthy,0.97,0.1398505658794199,0.3068530514831231,0.3068530514831231,0.0794408455506307,0.3068530514831231,0.1754509064476127,0.0356003405681928
36,unhealthy,0.99,0.152930623959418,0.1028243601059135,0.3971756398940865,0.2992056487202118,0.2007943512797881,0.1600914428930581,0.00716081893364
36,balanced,0.02,0.1237611988807181,0.2723985536359984,0.0936118923262354,0.3615910004017678,0.2723985536359984,0.1332651459939702,0.0095039471132521
37,healthy,1.0,0.1658872740854444,0.1693313953488372,0.1693313953488372,0.0072674418604651,0.6540697674418605,0.1672346707479619,0.0013473966625174
37,unhealthy,1.0,0.1412725852422748,0.1551312649164677,0.3068530514831231,0.3068530514831231,0.231162632117286,0.1575129426648222,0.0162403574225474
37,balanced,0.09,0.1225884326452875,0.3942807625649913,0.2019064124783362,0.2019064124783362,0.2019064124783362,0.1285331578908893,0.0059447252456017
38,healthy,1.0,0.1612493796749841,0.2502685284640172,0.0107411385606874,0.2502685284640172,0.4887218045112782,0.1708979849088077,0.0096486052338236
38,unhealthy,0.99,0.139279092625851,0.1693313953488372,0.6540697674418605,0.1693313953488372,0.0072674418604651,0.140326508315398,0.001047415689547
38,balanced,0.04,0.1305032375158667,0.3068530514831231,0.231162632117286,0.1551312649164677,0.3068530514831231,0.1555390292487558,0.0250357917328891
39,healthy,1.0,0.1532937372947956,0.4945054945054944,0.0054945054945054,0.4945054945054944,0.0054945054945054,0.1427576369851442,-0.0105361003096514
